Species,Date,Regulations,
Cutthroat trout,Year-round,"Min. size 14 inches. Daily limit 2. Cutthroat count toward trout daily limit. ",
Other trout,Year-round,Statewide min. size/daily limit. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
"SAMMAMISH, LAKE - KING CO.",,,
CRC (763),,,
All species,,Two-Pole not allowed. ,
,Aug. 16-Nov. 30,CLOSED to fishing within 100 yards of the mouth of Issaquah Creek. ,
Kokanee,Year-round,Catch-and-release. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-June 30,"Statewide min. size/daily limit.  Except: release all steelhead and rainbow trout over 20 inches. ",Ramp Access
,,,
SANDYSHORE LAKE - JEFFERSON CO.,,,
All species,Year-round,Access via Pope Resources private roads only. ,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
"SAWYER, LAKE - KING CO.",,,
All species,,Chumming permitted. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
"SCANEWA, LAKE - LEWIS CO.",,,
(Cowlitz Falls Reservoir) CRC (559),,,
All species,,Two-Pole not allowed. ,
,Year-round,"1) The upstream boundary of the reservoir in the Cowlitz arm is the posted Lewis County PUD sign on Peters Rd.
2) The upstream boundary of the reservoir in the Cispus arm is the posted markers at the Lewis Co. PUD kayak launch, approx. 1.5 miles upstream from the confluence of the Cowlitz and Cispus arms. ",
Trout,Year-round,"Min. size 8 inches. Daily limit 10.  Except: release wild cutthroat trout and wild rainbow trout. ",
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
Salmon,Year-round,"Min. size 12 inches. Daily limit 6. Up to 2 adults may be retained. Release all salmon other than hatchery Chinook and hatchery coho. ",Ramp Access
,,,
SERENE LAKE - SNOHOMISH CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SHADY LAKE - KING CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
"SHANNON, LAKE - SKAGIT/ WHATCOM CO.",,,
All species,,Chumming permitted. ,
Kokanee,4th Sat. in Apr.-Oct. 31,"Min. size 8 inches. Daily limit 10. ",
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SHERWOOD CREEK MILL POND - MASON CO.,,,
Trout,Year-round,"Min. size 14 inches. Daily limit 2. ",
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
SHOE LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
SILENT LAKE - JEFFERSON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SILVER LAKE - COWLITZ CO.,,,
All species,,Two-Pole not allowed. ,
Crappie,Year-round,"Min. size 9 inches. Daily limit 10. ",
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Grass carp,Year-round,No min. size. No daily limit. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
SILVER LAKE - PIERCE CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SILVER LAKE - WHATCOM CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SIXTEEN LAKE - SKAGIT CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SOULES POND - PACIFIC CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
SOUTH BEND MILL POND - PACIFIC CO.,,,
All species,,"Open for juvenile anglers, senior anglers and anglers with a disability who possess a designated harvester companion card only. Two-Pole not allowed. ",
All game fish,Year-round,Statewide min. size/daily limit. ,
,,,
SPADA LAKE - SNOHOMISH CO.,,,
Reservoir ,,,
All species,,Selective gear rules. Two-Pole not allowed. Internal combustion motors prohibited. ,
Trout,4th Sat. in Apr.-Oct. 31,"No min. size. Max. size 12 inches. Daily limit 5. ",
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SPANAWAY LAKE AND OUTLET - PIERCE CO.,,,
downstream to the dam (approx. 800') ,,,
All game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
SPIRIT LAKE - SKAMANIA CO.,,,
All species,,CLOSED WATERS. ,
,,,
SPRAGUE POND - KITSAP CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
SQUALICUM LAKE - WHATCOM CO.,,,
All species,,Two-Pole not allowed. Motors prohibited. Fly fishing only. ,
Trout,Year-round,"Min. size 14 inches. Daily limit 2. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
STEEL LAKE - KING CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
STEILACOOM LAKE - PIERCE CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
"STEVENS, LAKE - SNOHOMISH CO.",,,
All species,,Chumming permitted. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
STEVES LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
STICKNEY LAKE - SNOHOMISH CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
STITCH LAKE - SNOHOMISH CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
STORM LAKE - SNOHOMISH CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SUMMIT LAKE - THURSTON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SUNSET LAKE - WHATCOM CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
SUSAN LAKE - THURSTON CO.,,,
All species,,Selective gear rules. ,
All game fish,Year-round,Catch-and-release. ,
,,,
SUTHERLAND LAKE - CLALLAM CO.,,,
All species,,Two-Pole not allowed. ,
Kokanee,4th Sat. in Apr.-Oct. 31,"Min. size 8 inches. Max. size 18 inches. Daily limit 5. ",
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
SWAN'S MILL POND - KING CO.,,,
All species,,Two-Pole not allowed. ,
All game fish,Sat. before Memorial Day-Oct. 31,Statewide min. size/daily limit. ,
,,,
SWIFT RESERVOIR - SKAMANIA CO.,,,
from dam to markers approx. 3/8 mile below Eagle Cliff Bridge ,,,
All species,,Two-Pole not allowed. ,
Trout,Sat. before Memorial Day-Nov. 30,"Min. size 8 inches. Daily limit 10. Release wild trout. ",
Steelhead,Sat. before Memorial Day-Nov. 30,Release all steelhead. ,
Other game fish,Sat. before Memorial Day-Nov. 30,Statewide min. size/daily limit. ,
Salmon,Sat. before Memorial Day-Nov. 30,"Min. size 8 inches. Max. size 15 inches. Salmon count toward trout daily limit. No catch record card required. ",Ramp Access
,,,
SWIFT RESERVOIR  - SKAMANIA CO.,,,
from markers approx. 3/8 mile below Eagle Cliff Bridge to bridge ,,,
All species,,"Selective Gear Rules, except barbed hooks are allowed. Two-Pole not allowed. ",
Trout,Sat. before Memorial Day-July 15,"Min. size 8 inches. Daily limit 10. Release wild trout. ",
Steelhead,Sat. before Memorial Day-July 15,Release all steelhead. ,
Other game fish,Sat. before Memorial Day-July 15,Statewide min. size/daily limit. ,
Salmon,Sat. before Memorial Day-July 15,"Min. size 8 inches. Max. size 15 inches. Salmon count toward trout daily limit. No catch record card required. ",Ramp Access
,,,
"SYMINGTON, LAKE - KITSAP CO.",,,
All species,,Selective gear rules. ,
Trout,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit.  Except: release cutthroat trout and wild rainbow trout. ,
Smallmouth bass,4th Sat. in Apr.-Oct. 31,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,4th Sat. in Apr.-Oct. 31,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,4th Sat. in Apr.-Oct. 31,No min. size. Daily limit 10. ,
Walleye,4th Sat. in Apr.-Oct. 31,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
TAHUYA LAKE - KITSAP CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
TANWAX LAKE - PIERCE CO.,,,
All species,,Two-Pole not allowed. ,
Crappie,Year-round,"Min. size 9 inches. Daily limit 10. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
"TAPPS, LAKE (RESERVOIR) - PIERCE CO.",,,
and intake canal (open area includes intake canal to within 400' of screen at Dingle Basin) ,,,
All game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
TARBOO LAKE - JEFFERSON CO.,,,
All species,,Internal combustion motors prohibited. ,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
TEAL LAKE - JEFFERSON CO.,,,
All species,,Two-Pole not allowed. Internal combustion motors prohibited. Selective gear rules. ,
Trout,Year-round,"Min. size 18 inches. Daily limit 1. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
TENAS LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
TENNANT LAKE - WHATCOM CO.,,,
All species,First Fri. in October-Jan. 27,Fishing from any floating device prohibited. ,
All game fish,Year-round,Statewide min. size/daily limit. ,
,,,
"TERRELL, LAKE - WHATCOM CO.",,,
All species,First Sat. after Labor Day-Fri. Following First Sat. after Labor Day,Fishing from any floating device except a dock prohibited. ,
,Oct. 1-Jan. 31,Fishing from any floating device except a dock prohibited. ,
All game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
"THORNTON LAKE, LOWER - WHATCOM CO.",,,
,,,
Trout,Year-round,Statewide min. size/daily limit. Except: No min. size/daily limit for cutthroat trout. ,
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
THUNDER LAKE - CLALLAM CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
TIGER LAKE - KITSAP/ MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
TOAD LAKE - WHATCOM CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
U LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
VANCOUVER LAKE - CLARK CO.,,,
and all other waters west of Burlington-Northern RR from Columbia River drawbridge near Vancouver downstream to Lewis River ,,,
All species,,Chumming permitted. Two-Pole not allowed. ,
,Apr. 1-May 31,CLOSED WATERS - Vancouver Lake flushing channel and the lake shoreline 400' east and west from the channel exit. ,
Trout,Year-round,"Min. size 14 inches. Daily limit 2. ",
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
VOGLER LAKE - SKAGIT CO.,,,
All species,,Fly fishing only. Two-Pole not allowed. ,
All game fish,Year-round,Catch-and-release. ,Ramp Access
,,,
WAGNER LAKE - SNOHOMISH CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
WALKER LAKE - KING CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
WALSH LAKE - KING CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
WALUPT LAKE - LEWIS CO.,,,
All species,,Two-Pole not allowed. ,
,Year-round,CLOSED WATERS - all inlet streams. ,
All game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
WAPATO LAKE - PIERCE CO.,,,
All species,,"Two-Pole not allowed. Open for juvenile anglers, senior anglers and anglers with a disability who possess a designated harvester companion card only. ",
All game fish,Year-round,Statewide min. size/daily limit. ,
,,,
"WASHINGTON SHIP CANAL, LAKE - KING CO.",,,
waters west of a north-south line 400' east of the eastern end of the northern wing wall of Chittenden Locks to Chittenden Locks ,,,
All species,,CLOSED WATERS. ,
,,,
"WASHINGTON SHIP CANAL, LAKE - KING CO.",,,
waters east of a north-south line 400' east of the eastern end of the northern wing wall of Chittenden Locks to Fremont Bridge ,,,
Kokanee,Year-round,"Min. size 8 inches. Max. size 18 inches. Daily limit 5. ",
Trout,Mar. 1-June 30,"Min. size 12 inches. Daily limit 5. Release rainbow trout over 20 inches. ",
,July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-Last Day of Feb.,"Statewide min. size/daily limit. Release rainbow trout over 20 inches. ",
Steelhead (hatchery),July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-June 30,Release all steelhead. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
"WASHINGTON SHIP CANAL, LAKE - KING CO.",,,
waters east of the Fremont Ave Bridge to the Montlake Bridge   ,,,
All species,,Chumming permitted. ,
Kokanee,Year-round,"Min. size 8 inches. Max. size 18 inches. Daily limit 5. ",
Trout,Mar. 1-June 30,"Min. size 12 inches. Daily limit 5. Release rainbow trout over 20 inches. ",
,July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-Last Day of Feb.,"Statewide min. size/daily limit.  Except: release rainbow trout over 20 inches. ",
Steelhead (hatchery),July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-June 30,Release all steelhead. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
"WASHINGTON, LAKE - KING CO.",,,
"north of Hwy. 520 Bridge and east of Montlake Bridge, including that portion of Sammamish River from 68th Ave. NE Bridge downstream CRC (762)",,,
All species,,Chumming permitted. Two-Pole not allowed. ,
Kokanee,Year-round,"Min. size 8 inches. Max. size 18 inches. Daily limit 5. ",
Trout,Mar. 1-June 30,"Min. size 12 inches. Daily limit 5. Release rainbow trout over 20 inches. ",
,July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-Last Day of Feb.,"Statewide min. size/daily limit.  Except: release rainbow trout over 20 inches. ",
Steelhead (hatchery),July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-June 30,Release steelhead. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
"WASHINGTON, LAKE - KING CO.",,,
South of Hwy. 520 Bridge including Mercer Slough ,,,
All species,,Chumming permitted. Two-Pole not allowed. ,
Kokanee,Year-round,"Min. size 8 inches. Max. size 18 inches. Daily limit 5. ",
Trout,Mar. 1-June 30,"Min. size 12 inches. Daily limit 5. Release rainbow trout over 20 inches. ",
,July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-Last Day of Feb.,"Statewide min. size/daily limit.  Except: release rainbow trout over 20 inches. ",
Steelhead (hatchery),July 1-Nov. 30,Statewide min. size/daily limit. ,
,Dec. 1-June 30,Release steelhead. ,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,Ramp Access
,,,
"WHATCOM, LAKE - WHATCOM CO.",,,
above Electric Ave. Bridge ,,,
All species,,Two-Pole not allowed. ,
,Year-round,See DOH Fish Consumption Advisories page 24. ,
Trout,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit.  Except: release cutthroat. ,
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
"WHATCOM, LAKE - WHATCOM CO.",,,
that portion of Lake Whatcom between Electric Ave. Bridge and outlet dam ,,,
All species,,CLOSED WATERS. ,
,,,
WILDCAT LAKE - KITSAP CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
WILDERNESS LAKE - KING CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
Salmon,4th Sat. in Apr.-Oct. 31,Landlocked salmon rules. ,Ramp Access
,,,
WILLAME LAKE - LEWIS CO.,,,
All species,,Two-Pole not allowed. ,
All game fish,Year-round,Statewide min. size/daily limit. ,
,,,
WIRKKALA POND 1 - PACIFIC CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
WOOD LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,
,,,
WOODLAND FARM RESERVOIR - SNOHOMISH CO.,,,
Smallmouth bass,Year-round,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,Year-round,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,Year-round,No min. size. Daily limit 10. ,
Walleye,Year-round,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,Year-round,Statewide min. size/daily limit. ,
,,,
WOOTEN LAKE - MASON CO.,,,
All game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
WYNOOCHEE RESERVOIR - GRAYS HARBOR CO.,,,
Trout,4th Sat. in Apr.-Oct. 31,"Min. size 14 inches. Daily limit 2. ",
Smallmouth bass,4th Sat. in Apr.-Oct. 31,"No min. size. Daily limit 15. Only 1 over 14 inches may be retained. ",
Largemouth bass,4th Sat. in Apr.-Oct. 31,"No min. size. Daily limit 10. Max. size 12 inches, except 1 over 17 inches may be retained. ",
Channel catfish,4th Sat. in Apr.-Oct. 31,No min. size. Daily limit 10. ,
Walleye,4th Sat. in Apr.-Oct. 31,"No min. size. Daily limit 16. Only 1 over 22 inches may be retained. ",
Other game fish,4th Sat. in Apr.-Oct. 31,Statewide min. size/daily limit. ,Ramp Access
,,,
YALE RESERVOIR - CLARK/ COWLITZ CO.,,,
All game fish,Year-round,Statewide min. size/daily limit. ,
Salmon,Year-round,Landlocked salmon rules. ,Ramp Access
